fieldID|fieldRA|fieldDec
1|0.0|-90.0
2|180.0|-87.5685577392578
3|324.000427246094|-87.5685501098633
4|35.9995727539062|-87.5685501098633
5|252.001098632812|-87.5685501098633
6|107.998893737793|-87.5685501098633
7|215.999816894531|-85.2729110717773
8|144.000183105469|-85.2729110717773
9|0.0|-85.2728958129883
10|288.000518798828|-85.2728500366211
11|71.9994888305664|-85.2728500366211
12|323.999816894531|-84.7350769042969
13|36.0001945495605|-84.7350769042969
14|180.0|-84.7350769042969
15|251.999847412109|-84.7350616455078
16|108.000152587891|-84.7350616455078
17|203.144515991211|-82.7987442016602
18|156.855484008789|-82.7987442016602
19|275.144805908203|-82.7987442016602
20|84.8551864624023|-82.7987442016602
21|347.144348144531|-82.7987289428711
22|12.8556642532349|-82.7987289428711
23|228.855392456055|-82.7987213134766
24|131.144607543945|-82.7987213134766
25|300.855651855469|-82.798713684082
26|59.1443367004395|-82.798713684082
27|180.0|-81.9732131958008
28|324.000030517578|-81.9732131958008
29|35.9999809265137|-81.9732131958008
30|252.0|-81.9731979370117
31|108.000007629395|-81.9731979370117
32|216.00016784668|-80.515510559082
33|143.99983215332|-80.515510559082
34|0.0|-80.5154876708984
35|288.000305175781|-80.5154724121094
36|71.9997100830078|-80.5154724121094
37|268.858489990234|-80.1996383666992
38|91.1415100097656|-80.1996383666992
39|196.858413696289|-80.1996154785156
40|163.141586303711|-80.1996154785156
41|340.858245849609|-80.1996154785156
42|19.1417560577393|-80.1996154785156
43|235.141662597656|-80.1996078491211
44|124.858329772949|-80.1996078491211
45|307.141815185547|-80.199592590332
46|52.8581924438477|-80.199592590332
47|180.0|-79.2196655273438
48|251.999984741211|-79.2196350097656
49|108.000007629395|-79.2196350097656
50|324.000152587891|-79.2196044921875
51|35.9998512268066|-79.2196044921875
52|295.814422607422|-78.0668106079102
53|64.1855621337891|-78.0668106079102
54|280.185943603516|-78.0668106079102
55|79.8140716552734|-78.0668106079102
56|223.814498901367|-78.0667953491211
57|136.185501098633|-78.0667953491211
58|352.185485839844|-78.0667953491211
59|7.81452417373657|-78.0667953491211
60|208.185546875|-78.066780090332
61|151.814453125|-78.066780090332
62|265.206848144531|-77.5353698730469
63|94.7931365966797|-77.5353698730469
64|310.793243408203|-77.5353698730469
65|49.2067413330078|-77.5353698730469
66|238.793273925781|-77.5353622436523
67|121.206726074219|-77.5353622436523
68|193.206893920898|-77.5353240966797
69|166.793106079102|-77.5353240966797
70|337.206787109375|-77.5353012084961
71|22.7932090759277|-77.5353012084961
72|180.0|-76.4613571166992
73|324.000061035156|-76.4613494873047
74|35.9999313354492|-76.4613494873047
75|252.000091552734|-76.4613265991211
76|107.999900817871|-76.4613265991211
77|215.999984741211|-75.7419738769531
78|144.000015258789|-75.7419738769531
79|0.0|-75.7419738769531
80|288.000091552734|-75.7419509887695
81|71.9999008178711|-75.7419509887695
82|203.037811279297|-75.5162353515625
83|156.962188720703|-75.5162353515625
84|347.037994384766|-75.5162124633789
85|12.9620094299316|-75.5162124633789
86|228.962142944336|-75.5162048339844
87|131.037857055664|-75.5162048339844
88|275.037902832031|-75.5161972045898
89|84.9620971679688|-75.5161972045898
90|300.962219238281|-75.5161819458008
91|59.0377769470215|-75.5161819458008
